PPO_step,PPO_cost,PPO_len,PPO_Lag_step,PPO_Lag_cost,PPO_Lag_len
1,5.640134335,25,4,3.574472904,18
3,2.639421225,12,5,4.00576973,17
4,3.574472904,18,11,2.622390985,12
5,4.00576973,17,15,5.349497795,38
10,5.207132816,31,16,9.374876976,49
11,2.622390985,12,19,4.112528324,33
12,8.05426693,53,20,4.015758991,17
15,5.349497795,38,21,2.839228868,13
16,9.374876976,49,23,5.356266975,34
17,3.525788307,16,24,2.476552963,11
19,4.112528324,33,27,7.931037903,52
20,4.015758991,17,28,4.054379463,20
21,2.839228868,13,39,4.012922764,18
23,5.356266975,34,41,4.428627014,19
24,2.476552963,11,48,5.101563454,45
27,7.931037903,52,49,3.061768055,12
28,4.054379463,20,50,3.329986811,25
29,3.077205896,12,52,3.193156719,24
30,3.52462244,26,55,2.734110594,37
31,2.814448118,13,58,2.542723179,11
34,4.375486374,25,61,2.781775951,15
35,2.841488361,13,62,5.063196182,23
37,5.533022881,31,63,3.172953367,29
38,40.5019722,73,64,4.488949299,35
39,3.074117661,14,66,3.409283876,42
40,4.729242325,35,67,5.967929363,25
41,4.241508484,27,68,3.178099871,18
48,2.897241116,13,69,3.300453901,16
49,41.09977341,69,71,4.802772999,33
50,5.94993782,44,72,2.380900383,10
51,2.959213018,12,78,2.262862444,10
52,1.957776785,10,80,2.3725245,11
53,2.750566483,12,83,4.175365448,42
54,3.828583241,21,86,3.170289516,13
55,2.483798027,10,90,4.290843487,29
56,4.836862564,31,100,2.934704065,21
58,2.837928772,11,104,3.799815893,39
61,7.095340729,34,107,3.194357872,19
62,1.97985661,8,108,4.274057865,43
63,3.260203362,24,110,4.104707241,40
64,2.051306248,10,117,3.213734865,13
66,4.173451424,30,122,7.829350471,39
67,2.527695417,12,126,3.065806866,15
68,3.765129089,19,127,5.997738361,31
69,4.977186203,29,129,6.774585247,59
71,4.259985924,25,131,5.459555626,26
72,2.318850756,10,132,4.541004181,26
74,1.919378042,8,137,3.890300512,21
76,6.383656025,41,138,6.867640972,49
78,3.331345558,16,145,2.233283997,17
79,2.086404085,9,147,3.059504271,26
80,3.991718531,19,148,4.209187984,31
81,2.27408576,10,151,2.387855053,20
83,1.998116493,9,158,2.49542594,17
84,3.040547609,14,161,3.074147701,22
86,7.885874271,31,163,2.854691982,22
87,4.413317204,25,165,3.231354237,24
88,3.203449726,14,171,2.305890799,18
90,3.105501175,12,172,3.454685688,22
91,4.507505894,32,173,2.680754423,20
96,2.915699244,12,176,3.300705671,26
100,4.902261734,34,178,3.506288052,30
101,3.707061052,28,182,2.443673372,17
104,15.7641058,50,185,2.232183456,18
105,2.364503384,18,186,4.472753525,47
107,9.895580292,30,187,2.756988764,20
108,2.439914465,9,191,2.606608629,20
109,2.860646009,26,192,2.919079781,22
110,8.489792824,36,193,3.076034069,21
111,2.837333679,11,200,3.0481565,21
112,2.917394161,13,203,2.19756341,17
113,4.756465912,22,204,2.367036581,16
115,3.226743937,27,205,3.3040483,31
